id,train_name,train_code,route,created_at
,SUBORNO EXPRESS,701,CHATTOGRAM - DHAKA,
,SUBORNO EXPRESS,702,DHAKA - CHATTOGRAM,
,MAHANAGAR GODHULI,703,CHATTOGRAM - DHAKA,
,MAHANAGAR PROVATI,704,DHAKA - CHATTOGRAM,
,EKOTA EXPRESS ,705,DHAKA - B SIRAJUL ISLAM,
,EKOTA EXPRESS ,706,B SIRAJUL ISLAM - DHAKA,
,TISTA EXPRESS,707,DHAKA - DEWANGANJ_BAZAR,
,TISTA EXPRESS,708,DEWANGANJ_BAZAR - DHAKA,
,PARABAT EXPRESS,709,DHAKA - SYLHET,
,PARABAT EXPRESS,710,SYLHET - DHAKA,
,UPAKUL EXPRESS,711,NOAKHALI - DHAKA,
,UPAKUL EXPRESS,712,DHAKA - NOAKHALI,
,KOROTOA EXPRESS ,713,SANTAHER - BURIMARI,
,KOROTOA EXPRESS ,714,BURIMARI - SANTAHER ,
,KAPOTAKSHA EXPRESS,715,KHULNA - RAJSHAHI,
,KAPOTAKSHA EXPRESS,716,RAJSHAHI- KHULNA,
,JAYENTIKA EXPRESS,717,DHAKA - SYLHET,
,JAYENTIKA EXPRESS,718,SYLHET - DHAKA,
,PAHARIKA EXPRESS,719,CHATTOGRAM - SYLHET,
,PAHARIKA EXPRESS,720,SYLHET - CHATTOGRAM,
,MOHANAGAR EXPRESS,721,CHATTOGRAM - DHAKA,
,MOHANAGAR EXPRESS,722,DHAKA - CHATTOGRAM,
,UDAYAN EXPRESS,723,CHATTOGRAM - SYLHET,
,UDAYAN EXPRESS,724,SYLHET - CHATTOGRAM ,
,SUNDARBAN EXPRESS,725,KHULNA - DHAKA,
,SUNDARBAN EXPRESS,726,DHAKA - KHULNA,
,RUPSHA EXPRESS,727,KHULNA - CHILAHATI,
,RUPSHA EXPRESS,728,CHILAHATI - KHULNA,
,MEGHNA EXPRESS,729,CHATTOGRAM - CHANDPUR,
,MEGHNA EXPRESS,730,CHANDPUR - CHATTOGRAM ,
,BARENDRA EXPRESS,731,RAJSHAHI - CHILAHATI,
